"vehicle_id","vehicle_brand","vehicle_model","vehicle_type","manufacturing_year","battery_manufacturer","battery_chemistry","battery_capacity_kwh","drive_type","odometer_km","vehicle_age_years","fleet_or_private","battery_serial","cycle_count","battery_health_percent","state_of_charge","depth_of_discharge","state_of_health","cell_voltage_avg","cell_voltage_std","pack_voltage","cell_temperature_avg","cell_temperature_max","internal_resistance","charge_efficiency","discharge_efficiency","remaining_capacity","capacity_loss_percent","charging_cycles_last_month","fast_charge_ratio","slow_charge_ratio","average_charge_power_kw","average_charging_time","overnight_charging_ratio","home_charging_ratio","charging_interruptions","overcharge_events","average_speed","average_trip_distance","aggressive_acceleration_score","hard_braking_score","regenerative_braking_usage","highway_driving_ratio","city_driving_ratio","daily_distance","average_ambient_temperature","maximum_temperature","minimum_temperature","humidity","altitude","terrain_type","dust_exposure","last_service_days","cooling_system_health","firmware_updates","previous_faults","maintenance_score","thermal_runaway_risk","voltage_imbalance","temperature_variance","sensor_fault_count","bms_warning_count","abnormal_voltage_events","battery_stress_index","aging_score","thermal_health_score","charging_quality_score","driving_stress_score","predicted_remaining_life_cycles","battery_failure"
"EV105911","Kia","EV6","Crossover",,,"NMC","81.06","AWD","268063.4","9.84","Private","BAT-10005911","2384","63.7","93.73","82.55",,"3.641","0.0056","327.69","17.57","26.82","0.851","94.2","93.33","51.64","36.3","12","0.43","0.48","18.35","229.69","0.11","0.04","0","1","15.21","68.43","8.31","70.97","9.64","0.63","0.22","52.31","46.98","62.81","31.02","11.73","2386.82","Desert","34.22","315.5","62.92","30","0","86.39","22.17","10.12","0","0","3","0","49.19","100","77.48","82.88","33.58","5331","0"
"EV116362","Honda","Prologue","Crossover","2022","Envision AESC","NMC","85.02","FWD","85768","3.95","Private","BAT-10016362","639","89.37","49.6","54.48","89.47","3.566","0.0129","370.86","17.5","37.84","0.136","97.38","96.68","75.98","10.63","15","0.32","0.51","21.45","398","0.57","0.45","1","1","52.25","133.7","25.92","19.39","25.79","0.3","0.42","79.22","22.96","39.63","8.18","99.99","1802.77","Flat","12.31","755.1","89.5","6","2","55.82","3.32","22.49","14.88","2","1","0",,"33.51","100","86.83","30.05","10019","0"
"EV101415","Nissan","Leaf","Crossover","2016","LG Energy Solution","LFP","27.56","AWD","181380.4","9.86","Private","BAT-10001415","1168","73.66","42.73","55.3","71.87","3.676","0.0172","327.16","19.12","29.81","0.536","95.65","95.15","20.3","26.34","22","0.05","0.75","28",,"0.26","0.35","1","0","25.79","57.21","64.81","99.42","93.6","0.15","0.36","35.42","-2.17","13.57","-21.77","89.12","2251.19","Hilly","53.34","1301","84.08","18","0","47.67","10.9","24.16","31.98","1","2","0","54.56","84.04","88.74",,"53.67",,"0"
"EV113389","Mercedes-Benz",,"Hatchback",,"Panasonic","NCA","108.11","FWD","193407.7","7.66","Private","BAT-10013389","1446","79.36","14.24","55.04","80.91","3.656","0.011","292.48","24.08","37.33","0.657","95.3","94.74","85.8","20.64","18","0.39","0.39","73.18","129.58","0.4","0.25","0","0","40.21","85.5","20.49","44.29","20.57","0.14","0.92","39.87","-2.19","9.71","-20.08","39.78","1132.98","Hilly","48.81","891.2","96.18","14","2","63.85","15.57",,"32.94","1","2","1","54.22","76.44","87.6","80.51","26.36","7718","0"
"EV102875","Mercedes-Benz","EQE","Truck","2023","Northvolt","NMC","51.85","AWD","130621.2","3.12","Private","BAT-10002875","1033","84.65","56.79","25.61","84.43","3.492","0.0005","324.76","18.64","30.1","0.437","96.03",,"43.89","15.35","4","0.42","0.35","15.81","192.34","0.79","0.12","0","0","56.47","54.55","49.32","77.28","27","0.01","0.06","65.03","24.41","37.72","11.29","18.28","980.38","Mountainous","18.52","131.8","88.51","7","1","85.4","6.25","4.07","5.69","0","1","1","30.95","42.19","93.53","96.59","45.35","9111","0"
"EV104367","Volkswagen","ID.3","Van","2023","BYD Battery","NMC","78.88","AWD","86414.7","3.54","Fleet","BAT-10004367",,"91.49",,"59.09",,"3.586","0.0278","294.05","40.92","58.68","0.323","98.05","95.4","72.17","8.51","18","0.37","0.38","43.15","101.34","0.53","0.79","0","1","111.16","59.49","48.76","21.11","1.89","0.54","0.44","41.43","-4.59","1.71","-10.71","73.73","455.96","Flat","58.44",,"87.62","12","0","87.31","47.8","37.16","32.94","1","2","1","56","36.7","52.5",,"39.26","9215","0"
"EV116282","Volvo","XC40 Recharge","Hatchback","2018","CATL","NCA",,"RWD","100776.4","7.61","Private","BAT-10016282","1074","77.96","39.39","42.39","76.12","3.724","0.0243","323.99","17.88",,"0.638","96.11","93.93","31.96","22.04","15","0.43","0.39","19.58","120.04","0.74","0.78","0","3","115.38","81.82","46.55","61.7","26.53","0.79","0.15","76.11","42.22","48.19","38.15","60.05","1315.93","Coastal","96.04","336.7","84.65","29","1","89.43","21.63","34.19","0","1","2","0","53.04","69.23","80.09","76.15","50.64","7422","0"
"EV106809","Volvo","XC40 Recharge","Crossover","2022","Panasonic","LTO","41.37","AWD","127965.7","3.9","Private","BAT-10006809","901","95.91","98.44","69.24","96.82","3.829","0.0213","279.52","14.77","27.44","0.075","96.85","97.12","39.68","4.09","19","0.45",,"91.37","33.23","0.77","0.96","1","0","71.35","80.65","61.82","52.61","70.26","0.7","0.65","133.02","15.94","27.87","2.57","30.95","1065.3","Coastal","6.72","743.1","97.93","27","2","66.85","4.76","32.05","11.5","1","1","3","39.95","34.4","99.23","94.8","46.63","10024","0"
"EV112289","Mercedes-Benz","EQE","SUV","2018",,"LFP","114.21","FWD","298708.6","7.57","Fleet","BAT-10012289","1974",,"25.45","61.96","76.66","3.78","0.0014","321.3","21.73","40.95","0.469","95.34","93.62","86.32","24.42","11","0.27","0.58","15.57","399.13","0.74","0.42","1","0","20.5","42.13","87.88","41.57","38.11","0.78",,"24.34","-6.66","1.62","-20.59","97.83","625.35","Hilly","26.91","545.3","92.46","13","1","63.76","9.37","5.06",,"1","2","1","57.57","80.56","86.53","89.9","51.42","7299","0"
"EV108352","Mahindra","BE 6","Van","2016","Guoxuan","LFP","112.32","FWD","370107","9.82","Private","BAT-10008352","2337","76.47","87.68","46.53","76.26","3.85","0.0035","284.9","24.92","41.8","0.553","95.31","96.07","85.89","23.53","25","0.09","0.67","39.41","232.86","0.02","0.42","0","0","83.58","92.82","77.86","99.33",,"0.61",,"58.59","-19.84","-13.73","-38.34","9.47","1206.53","Coastal","16.15","1133.7","83.84","11","1","52.3","4.52","6.59","32.94","1","2","1","55.69","100","93.17","100","54.99",,"0"
"EV116611","Rivian","R1S","SUV","2017","Panasonic","NMC","67.42","RWD","245225.1","8.78","Private","BAT-10016611","1991","84.4","64.07","59.05","84.03","3.495","0.0047","307.56","22.7","32.59","0.415","96.09","96.79","56.9","15.6","23","0.2","0.67","128.67","37.44","0.71","0.98","0","1","33.4","75.72","0.55","26.89","4.72","0.56","0.27","89.08","42.7","55.67",,"97.74","1086.59","Coastal","43.53","276.4","75.48","20","0","84.86","13","7.94","0","0","1","0","26.85","77.82","88.43","97.26","27.46","7821","0"
"EV103840","Renault","Megane E-Tech","Crossover","2022","Guoxuan","NCA","78.08","RWD","145247.5","3.72","Fleet","BAT-10003840","868","89.26","34.79","23.31","89.06","3.514","0.0115","316.26","35.34",,"0.33","96.47","95.53","69.69","10.74","37","0.11","0.88","42.5","100.41","0.73","0.72","1","1","67.13","8.73","46.13","63.14","58.53","0.59","0.52","14.19","-12.89","3.04","-20.16","50.73","1807.87","Coastal","13.55","1207.4","95.43","23","0","53.59","32.57",,"32.94","1","3","1","49.11","42.43","67.9","86.39","31.76","8755","0"
"EV105747","Audi","e-tron GT","Crossover","2015","CATL","NMC","85.08","FWD","214024.6","11.27","Private","BAT-10005747","2271","82.84","55.23","64.5","83.21","3.498",,"360.29","18.97","34.87","0.414","95.56","95.52","70.48","17.16","27","0.38","0.57","48.7","130.24","0.8","0.33","0","2","108.53","80.83","27.28","95.14","59.93","0.08","0.52","67.27","10.13","17.52","5.93","75.48","2222.64","Flat","6.56","529.6","87.3","9","0","71.79","11.7","51.26","24.74","1","2","0","60.84","100","86.74","82.37","41.7","6251","0"
"EV113337","Volvo","EX30","Hatchback","2023","Guoxuan","NMC","80.7","AWD","109308","3.1","Private","BAT-10013337","750","91.57","81.15","47.17","92.88","3.639","0.002","334.79","18.19","38.79","0.367","97.79","97.69","73.9","8.43","11","0.41","0.58","63.66","121.82","0.81","0.11","2","0","34.24","75.32","11.28","49.7","40.36","0.7","0.49","58.21","10.17","29.47","-8.43","76.47","382.27","Flat","72.99","673.7","87.65","28","2","68.11","14.47","10.35","28.62","0","3","1","46.81","29.2","85.9","84.22","26.89","9385","0"
"EV108937","Audi","Q4 e-tron","Van","2023","Northvolt","NMC","113.55","AWD","169371.9","2.9","Private","BAT-10008937","1370","82.88","66.81","45.89","84.23","3.739","0.0011","310.34","0.41",,"0.453","96.1","96.13","94.11","17.12","2","0.1","0.89","39.61","156.42","0.7","0.75","3","0","12.26","42.11","40.64","65.25","81.65","0.91","0.81","23.8","29.28","39.4","22.5","29.52","707.69","Hilly","14.73","1372.2","88.6","28","2","40.63","15.68","5.97","0","1","3","2","19.74","45.57","80.28","95.16","33.95","8977","0"
"EV113806","Ford","Mustang Mach-E","SUV","2023","SK On","LMO","132.61","RWD","76736.5","3.23","Private","BAT-10013806","658","98.18","16.91","30.26",,"3.558","0.0086","277.52","16.08","21.85","0.073","98.14","96.91","130.2","1.82","18","0.09","0.7","45.43","255.28","0.35","0.57","2","1","34.68",,"21.59","26.42","53.27","0.44","0.58","134.87","-12.38","6.38","-28.76","94.03","2109.06","Mountainous","99.73","856.8","93.7","13","1","56.09","8.97","15.38","32.94","0","0","0","37.39","24.75","95.13","92.23","37.59","10927","0"
"EV106619","Renault","Zoe","Hatchback","2017","CATL","LMO","92.45","FWD","339150.9","9.19","Private","BAT-10006619","2370","70.27","6.74","56.07","71.11","3.463","0.0063","325.52","23.45","38.88","0.656","94.34","94.45","64.96","29.73","39","0.07","0.77","52.07","107.97",,"0.09","0","0","46.8","39.71","60.69","10.53","0.95","0.51","0.87","40.3","5.11","21.87","-10.29","97.14","1544.25","Mountainous","41.94","780.8","89.13","23","1","58.74","7.53","12.56","32.94","1","1","0","61.24",,"94.44",,"42.37","4910","0"
"EV108421","Ford","Mustang Mach-E","Crossover","2023","Panasonic","LMO","117.33","FWD","78219.1","2.55","Fleet","BAT-10008421",,"87.7","23.87","54.22","86.62","3.625","0.0029","355.25","24.4","38.77","0.475","97","95.16","102.9","12.3","17","0.41","0.46","24.16","456.55","0.23","0.95",,"0","53.34","140.95","65.65","49.62","26.5","0.95","0.79","97.45","40.44","52.08","31.69","44.49","1284.54","Mountainous","67.77","1276.1","81.41","0","0","46.79",,,"0","0","0","0","28.67","19.23","83.9","81.81","58.65","11148","0"
"EV114547","Ford","F-150 Lightning","Van","2016","CATL","NCA","67.59","AWD","278791.7","9.66","Fleet","BAT-10014547","2472","73.5","66.48","34.52","73.71","3.628","0.004","304.75","34.3","44.72","0.603","94.67","94.3","49.68","26.5","9","0.42","0.48","20.26","324.9","0.11","0.34","2","2","60.46","118.1","21.49","62.85","38.11","0.79","0.45","57.79","9.92","16.31","-5.4","15.41","1416.08","Desert","88.07","437.2","88.42","19","0","80.78","17.29","5.44","32.94","1","2","0","72.24","100","81.3","68.45","37.46","4798","0"
"EV115135","Tesla","Model S","Van","2016","Northvolt","LFP","112.64","RWD","217290.3","9.78","Fleet","BAT-10015135","1462","81.7","68.25","36.72","79.71","3.697","0.0071","377.09","15.84","23.4","0.492","95.56","94.46","92.03","18.3","20","0.74","0.12","105.48","78.86","0.26","0.27","0","0","79.39","90.93","90","96.6","26.61","0.49","0.79","36.64","3.88","17","0.16","36.62","2582.87","Desert","91.58","1133.4","88.93","14","1","47.36","4.46","12.2","19.52","0","0","1","60.93","78.66","96.41","68.83","57.97","7528","0"
"EV114949","Tesla","Model S","Van","2024","LG Energy Solution","NMC","59.61","RWD","131524.4","1.95","Private","BAT-10014949","944","92.77","41.06","43.85","92.62",,"0.0047","242.28","19.71","38.5","0.203","96.8","95.47","55.3","7.23","23","0.48","0.35","11.98","470.38","0.78","0.4","0","1","104.61","58.75","59.02","93.03","98.34","0.32","0.29","26.68","-17.38","-2.83","-31.45","99.69","1871.68",,"29.28","186.7","94.49","26","1","82.22","9.67",,"32.94",,"1","0","55.85","25.98","90.46",,"37.49",,"0"
"EV116184","Porsche","Macan Electric","Crossover","2021","LG Energy Solution","NMC","35.7","FWD","133604.4","4.9","Private","BAT-10016184","1063","95.51","75.6","40.77","95.35","3.623","0.0036","271.73","27.75","48.15","0.21","97.63","95.93","34.1",,"23","0.26","0.71","44.32","48.18","0.62","0.67","0","1","52.6","57.84","8.67","92.19","23.74","0.15","0.12","48.37","-21.77","-10.92","-34.14","41.47","881.09","Flat","55.22","672.5",,"25","2",,"21.66","11.62",,"0","2","2","42.18","38.39","79.86","92.28","35.57","10491","0"
"EV119664","Audi","e-tron GT","Sedan","2021","Envision AESC","LMO","97.25","AWD","399759.3","5.24","Private","BAT-10019664","2705","84.8","41.9","19.52","85.67","3.664","0.0195","351.74","27.3","36.97","0.301","95.84","94.8","82.47","15.2","38","0.3","0.63","29.85","289.51","0.26","0.15","2","0","81.34","96.48","84.35","2.22","47.46","0.93","0.01","61.79","-19.24","-3.21","-38.42",,"2597.1","Mountainous","47.39",,"88.78","14","1","88.69","0.55","28.24","32.94","0","0","0",,"74.48","100","84.79","36.83","7190","0"
"EV109800","Audi","e-tron GT","Truck","2016","Panasonic","NMC","49.1","FWD","169067.3","10.03","Private","BAT-10009800","1633","75.78","81.66","30.46","75.62","3.579","0.0116","297.06","30.67","35.75","0.587","95.12","94.55","37.21","24.22","28","0.07","0.83","15.96","302.24","0.89","0.83","3","2","62.64","34.97",,"33.6","90.09","0.21","0.45","64.34","5.09","10.41","-12.25","61.47","1223.23","Desert","99.12","1433.7",,"2",,,"11","19.22","30.66","0","0","0","62.59","86.89","88.77","80.65","37.16","6308","0"
"EV115459","Honda","e:N1","Van","2024","CATL","LFP","102.8","FWD","101910.9","1.43","Private","BAT-10015459","852","94.55","80.09","56.42","96.13","3.461","0.005","325.33","22.89","36.33","0.219","98.3","97.17","97.2","5.45","33","0.38","0.4","29.27","206.78","0.79","0.99","1","1","31.36","35.35","56.3","62.77","3.59","0.53","0.66","31.87","27.73","37.19","14.32","80.97","934.53","Coastal","98.78","464.6","87.64","23","0","83.05",,"7.43","8.6","0","1","0","31.49","20.8","84.66","89.8","50.49","10155","0"
"EV118965","GM","Chevrolet Bolt","Hatchback",,"LG Energy Solution","LFP","29.71","AWD","83224.1","6.95","Private","BAT-10018965","961","75.9","32.21","51.4","74.39","3.532","0.0056","303.75","28.66","49.66","0.456","95.12","94.33","22.55","24.1","19","0.34",,"14.46","100.97","0.31","0.94","1","0","28.75",,"48.09","48.18","35.81","0.85","0.05","144.72","10.62","30.08","5.27","82.6","41.6","Mountainous","19.08","588.1","87.14","14","1","73.9","29.93","9.8","32.94","1","3","0","58.9","61.88","74.47","98.53","46.35","7105","0"
"EV103583","GM","Cadillac Lyriq","SUV","2019","BYD Battery","LMO","121.29","AWD","298656.9","7.27","Private","BAT-10003583","2405","76.9","58.29","24.54","74.19","3.56","0","363.12","40.23","60.98","0.682","94.8","95.22","93.27","23.1","30","0.42","0.52","66.25","179.17","0.8","0.77","0","0","85.55","72.27","96.2","62.87","89.59","0.46","0.31","117.7","-15.52","-5.09","-26.35","99.79","1020.32","Flat","93.42","1251.2","89.05","23","0","43.52","52.93","0.02",,"0","1","0",,"80.69","44.93","90.39","56.23","6179","0"
"EV113922","Nissan","Ariya","Hatchback","2017","Panasonic","LFP","54.17","FWD","217303.9","8.48","Fleet","BAT-10013922","2071","74.32","89.32","59.83","73.51","3.488","0.0094","331.36","24.54","42.06","0.664","95.1","95.36","40.26","25.68","4","0.36","0.42","21.23","146.01","0.17","0.39","1","0","108.31","47.02","93.83","86.89","10.66","0.06","0.88","45.15","-4.24","7.2","-17.98","15.49","827.65","Coastal","45.83","326.1","92.18","4","0","83.48","3.93","12.48","32.94","2","0","0","60.74",,"98.03","94.27","71.95",,"0"
"EV106129","Ford","Mustang Mach-E","Crossover","2015","Panasonic","LFP","102.75","FWD","206158.4","10.88","Fleet","BAT-10006129","1753","78.16","70.22","81.29","79.95","3.59","0.0071","315.92","24.35","45.07","0.447","96.22","94.83","80.31","21.84","41","0.39","0.39","46.74","199.7","0.29","0.05","1","0","76.1","38.43","70.03","11.36","26.19","0.22","0.45","37.62","18.62","23.83","2.39","93.81","1589.22","Coastal","19.39","1073.5","86.35","18","1","57.92","22.68","15.13","26.45","0","1","0","67.43","92.8","76.91","86.69","32.92","5204","0"
"EV112981","Tata","Nexon EV","Sedan","2017","Northvolt","NMC","68.96","FWD","233831.2","9.24","Fleet","BAT-10012981","1398","67.8","18.62","32.84","67.97","3.375","0.0118","263.25","18.93","36.42","0.631","94.54","92.88","46.75","32.2","40","0.19","0.68","30.75","167.57","0.27","0.52","1","0","75.01","140.35","26.65","14.19","92.65","0.95","0.18","182.06","21.09","38.5","11.48","12.65","176.99","Coastal","31.9","438.7","84.12","30","1","84.14",,"18.04","15.33","1","1","1","39.06","83.39","87.19","99.82","40.46","6332","0"
"EV118269","Volkswagen","ID.4","Hatchback","2018","BYD Battery","NMC","73.38","FWD","226396.9","8.36","Private","BAT-10018269","1574","86.4","69.29","46.5","87.38","3.652","0.0069","372.5",,"32.85",,"96.21","95.4","63.4","13.6","24","0.48","0.5","16.95","386.31","0.7","0.15","1","0","85.55",,"43.95","93.39","31.64","0.75","0.33",,"32.42","51.24","28.15","41.14","814.84","Mountainous","15.48","1432.7","85.46","16","1","36.91","11.03","12.86","0.43","3",,"0","25.13",,"92.86",,"58.07","9134","0"
"EV104422","Tata","Tiago EV","SUV","2021","LG Energy Solution","NMC","109.17","FWD","209397.5","5.52","Private","BAT-10004422","1804","87.26","63.66","59.22","88.26","3.677","0.0055","360.35","38.1","49.33","0.405","96.44","96.67","95.26","12.74","22","0.28","0.59","19.53","377.93","0.32","0.29","1","0","46.62","31.94","84.11",,"78.29","0.31","0.56","24.21","25.17","39.78","13.53","78.47",,"Hilly","51.73","288.9","85.88","18","1","84.53","32.46","9.31","24.16","3","3","1","46.62","57.82","64.08","93.35","31.57","7632","0"
"EV116284","Mercedes-Benz","EQE","Sedan","2016","LG Energy Solution","NMC","91.55","AWD","117414","9.49","Private","BAT-10016284","858","66.67","84.32","43.47","66.59","3.611","0.0123","335.82","38.42","59.42","0.712","95.02","93.15","61.04","33.33","37","0.4","0.42","63.36","119.76",,"0.02","1","0","84.09","136.84","99.28","59.37","12.62","0.3","0.39","205.3",,"33.03","7.53","63.01","3.84","Flat","33.92","755.2","89.09","5","0","66.08","47.54","17.96","32.94","2","2","1","65.95","72.09","54.46","80.51","81.04","6045","1"
"EV103563","Volvo","EX30","Hatchback","2018","Guoxuan","NCA",,"AWD","207064.5","8.44","Private","BAT-10003563","1365","68.44","95.52","41.03","66.92","3.371","0.0015","289.91","22.31","31.43",,"94.3","92.98","74.84","31.56","21","0.14","0.81","40.48","131.33","0.63","0",,"0","41.21","129.88","51.12",,"95.61","0.6","0.37","72.21","-14.98","-4.56","-22.17","19.91","2293.16","Hilly","93.76","206.8","89.22","30","0","93.52","9.89","5.23","32.94","1","1","1","63.17","75.3","92.91","91.51","29.68","5670","0"
"EV115860","Hyundai","Ioniq 5","Hatchback","2024","SK On","NMC","145.27","AWD","152062.1","1.92","Fleet","BAT-10015860","1278","92.92","84.5","85.83","93.87","3.731","0.0001",,,"49.47","0.337","96.79","95.31","134.98","7.08","34","0.4","0.42","11.05","600","0.3","0.11","1","0","95.13","4.34","41.56","75.04","11.05","0.21","0.81","3.23","-15.3","3.35","-24.32","67.82","1773.19","Hilly","93.5","1288.9",,"9","2","32.1","29.07","7.18","32.94","1","0","0","57.87",,"73.05","80.55","40.27","9471","0"
"EV116271","Volkswagen",,"Hatchback","2018","BYD Battery","NMC","123.77","RWD","336351.1","8.45","Private","BAT-10016271","2069","76.56","45.37","42.47","76.22","3.604","0.0265","263.09","30.52","50.51","0.549","95.27","94.24","94.76","23.44","16","0.24","0.56","11.62","600","0.23","0.36","0","4","10.48","119.55","72.07","0.01","40.76","0.06","0.96","60.11","14.81","20.45","1.27","24.36","983.85","Coastal","49.31","953.2","86.84","27","0","64.37","33.43","36.58","32.94",,"1","0","74.55","77.42","68.04","76.62","38.41","5581","0"
"EV103753","Kia","EV6","Truck","2018","BYD Battery","LFP","89.28","FWD","316808.8","7.67","Fleet","BAT-10003753","2094","82.44","3.61","41.96","82.07","3.834","0.0058","299.05","48.99",,"0.365","96.85","96.19","73.6","17.56","31","0.06","0.88","102.8","82.02","0.94","0.23","0","0","76.85","54.2","79.87","15.78","30","0.78","0.02","65.9",,"34.72","13.05","39.55","1340.85","Desert","4.63","1382.4","87.78","30","0",,"67.29","8.12","32.94","0","3","0","52.96","81.27","28.09","99.57","46.49","6949","1"
